run,metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,ci_high,ci_low,n_bootstrap,n_pairs,sign_flip_q_value,significant_after_fdr_0.05,significant_after_fdr_0_05
run-01,global_mean_fc,0.08249997408933958,0.10581094680846047,0.779692239581614,0.779692239581614,1,0.8,0.017578125,positive means globally stronger FC under LSD,0.127889529382,0.02867109109,1024,15,0.064453125,False,False
run-01,within_network_segregation,0.05960577102661881,0.11528781409782464,0.5170170975402639,-0.5170170975402639,-1,0.3333333333333333,0.940765380859375,negative means weaker within-network segregation under LSD,0.116242311661,0.001948191777,1024,15,0.982421875,False,False
run-01,between_network_integration,0.11239363613016881,0.14846830797793723,0.7570210616724399,0.7570210616724399,1,0.8,0.017578125,positive means stronger between-network integration under LSD,0.183673859003,0.043412585753,1024,15,0.064453125,False,False
run-01,integration_segregation_balance,0.05278786510354998,0.10709692395017677,0.4928980511905996,0.4928980511905996,1,0.6,0.303619384765625,positive means integration increases relative to segregation under LSD,0.108403931011,-0.00081594178,1024,15,0.6679626464843751,False,False
run-01,dynamic_fc_variance,-0.0009904284808154122,0.012040219929969693,-0.08225999911763283,-0.08225999911763283,1,0.4,0.84912109375,positive means a broader time-varying FC repertoire under LSD,0.004766138383,-0.007415709113,1024,15,0.982421875,False,False
run-01,dynamic_fc_path_length,-0.10163142558171456,0.15759759411177934,-0.644879296251378,-0.644879296251378,1,0.26666666666666666,0.982421875,positive means larger movement through FC-state space under LSD,-0.027118713303,-0.171843623215,1024,15,0.982421875,False,False
run-01,trajectory_step_distance,0.014341733102759635,0.0736395546220966,0.19475583708183092,0.19475583708183092,1,0.5333333333333333,0.5,positive means larger macro-trajectory steps under LSD,0.048439942243,-0.020614136777,1024,15,0.9166666666666666,False,False
run-01,graph_modularity_q,0.0020684934141971074,0.04354002116417122,0.047507864233636524,-0.047507864233636524,-1,0.4666666666666667,0.696380615234375,negative means lower graph modularity under LSD,0.021840149525,-0.018542793804,1024,15,0.9575233459472656,False,False
run-01,graph_modularity_reduction_proxy,-0.0020684934141971074,0.04354002116417122,-0.047507864233636524,-0.047507864233636524,1,0.4666666666666667,0.696380615234375,positive means reduced graph modularity under LSD,0.020131956004,-0.022249066804,1024,15,0.9575233459472656,False,False
run-01,mean_participation_coefficient,0.03790351067585578,0.05739183692514419,0.6604338300809763,0.6604338300809763,1,0.6666666666666666,0.15087890625,positive means nodes distribute connectivity across more communities under LSD,0.065380960418,0.009840344518,1024,15,0.4149169921875,False,False
run-01,global_efficiency,0.06237440051394854,0.08135197877763595,0.7667225979154125,0.7667225979154125,1,0.8,0.017578125,positive means stronger graph-theoretic integration under LSD,0.101973724749,0.019387980649,1024,15,0.064453125,False,False
run-03,global_mean_fc,0.060520552267970464,0.09140108504798056,0.662142601876121,0.662142601876121,1,0.6666666666666666,0.15087890625,positive means globally stronger FC under LSD,0.104880024075,0.018730148204,1024,15,0.55322265625,False,False
run-03,within_network_segregation,0.03479124348299457,0.13994860416208044,0.2486001463987547,-0.2486001463987547,-1,0.6,0.303619384765625,negative means weaker within-network segregation under LSD,0.107786852689,-0.031844603979,1024,15,0.7660186767578125,False,False
run-03,between_network_integration,0.07540583270791103,0.12427697380325718,0.6067562670723377,0.6067562670723377,1,0.6666666666666666,0.15087890625,positive means stronger between-network integration under LSD,0.14339890049,0.021136977226,1024,15,0.55322265625,False,False
run-03,integration_segregation_balance,0.040614589224916474,0.16109152107973956,0.25212121005929566,0.25212121005929566,1,0.4666666666666667,0.696380615234375,positive means integration increases relative to segregation under LSD,0.124820540565,-0.028422598321,1024,15,0.7660186767578125,False,False
run-03,dynamic_fc_variance,-0.000885697169502555,0.01084732610916178,-0.08165119777808512,-0.08165119777808512,1,0.4666666666666667,0.696380615234375,positive means a broader time-varying FC repertoire under LSD,0.00426716339,-0.005956647211,1024,15,0.7660186767578125,False,False
run-03,dynamic_fc_path_length,-0.0897736959222579,0.1536376517293635,-0.5843209324781693,-0.5843209324781693,1,0.4,0.84912109375,positive means larger movement through FC-state space under LSD,-0.020357626082,-0.171164132821,1024,15,0.84912109375,False,False
run-03,trajectory_step_distance,-0.0003053589883851071,0.10212916119505124,-0.002989929465903648,-0.002989929465903648,1,0.4666666666666667,0.696380615234375,positive means larger macro-trajectory steps under LSD,0.048211620705,-0.051715817682,1024,15,0.7660186767578125,False,False
run-03,graph_modularity_q,-0.020934177782646515,0.07463310198969221,-0.2804945422948894,0.2804945422948894,-1,0.5333333333333333,0.5,negative means lower graph modularity under LSD,0.014624745655,-0.060721933077,1024,15,0.7660186767578125,False,False
run-03,graph_modularity_reduction_proxy,0.020934177782646515,0.07463310198969221,0.2804945422948894,0.2804945422948894,1,0.5333333333333333,0.5,positive means reduced graph modularity under LSD,0.057017302773,-0.015710526027,1024,15,0.7660186767578125,False,False
run-03,mean_participation_coefficient,0.017832107067991362,0.08347418064634989,0.21362422404048018,0.21362422404048018,1,0.4666666666666667,0.696380615234375,positive means nodes distribute connectivity across more communities under LSD,0.057472556107,-0.020749463945,1024,15,0.7660186767578125,False,False
run-03,global_efficiency,0.04268505166418225,0.06910021851302516,0.6177267247879435,0.6177267247879435,1,0.6666666666666666,0.15087890625,positive means stronger graph-theoretic integration under LSD,0.076983285339,0.011891409009,1024,15,0.55322265625,False,False
