run,metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,ci_high,ci_low,n_bootstrap,n_pairs,sign_flip_q_value,significant_after_fdr_0.05,significant_after_fdr_0_05
run-01,sensory_transmodal_coupling,0.05211301798993091,0.09314373652578961,0.5594903096409696,0.5594903096409696,1,0.8,0.017578125,positive means stronger sensory-to-transmodal coupling under LSD,0.093926780535,0.007167206747,1024,15,0.052734375,False,False
run-01,sensory_global_coupling,0.0674246621966532,0.11010845025951617,0.6123477538530336,0.6123477538530336,1,0.8,0.017578125,positive means stronger sensory/somatomotor global coupling under LSD,0.115593134523,0.015237988259,1024,15,0.052734375,False,False
run-01,associative_global_coupling,0.07818392633670651,0.10523540929638343,0.7429431486935207,-0.7429431486935207,-1,0.2,0.996307373046875,negative means weaker associative-network global coupling under LSD,0.13024707113,0.026965105067,1024,15,0.996307373046875,False,False
run-01,thalamic_global_coupling,0.14451433179696566,0.18429546976019023,0.7841447865485311,0.7841447865485311,1,0.7333333333333333,0.059234619140625,positive means stronger thalamic-gateway coupling with cortex under LSD,0.240510590301,0.054555417173,1024,15,0.1421630859375,False,False
run-01,thalamic_sensory_coupling,0.12867123902354222,0.22211844379296367,0.5792911062508457,0.5792911062508457,1,0.6,0.303619384765625,positive means stronger thalamic-gateway coupling with sensory modules under LSD,0.229884915001,0.01487561912,1024,15,0.40482584635416663,False,False
run-01,thalamic_transmodal_coupling,0.15639665137703326,0.18609573656075565,0.8404096421949657,0.8404096421949657,1,0.8,0.017578125,positive means stronger thalamic-gateway coupling with transmodal modules under LSD,0.24949274391,0.070741998708,1024,15,0.052734375,False,False
run-01,hierarchy_differentiation,0.007492753036687997,0.08014114268926102,0.09349446221075697,-0.09349446221075697,-1,0.5333333333333333,0.5,negative means reduced within-vs-cross hierarchy separation under LSD,0.044964972176,-0.032551118457,1024,15,0.5454545454545454,False,False
run-01,hierarchy_flattening_proxy,-0.007492753036687997,0.08014114268926102,-0.09349446221075697,-0.09349446221075697,1,0.5333333333333333,0.5,positive means hierarchy differentiation is reduced under LSD,0.030264679571,-0.046028891385,1024,15,0.5454545454545454,False,False
run-01,hierarchy_coupling_gradient_magnitude,-0.034528451915710405,0.29153853239201477,-0.11843529441000965,0.11843529441000965,-1,0.6,0.303619384765625,negative means node global-coupling is less tied to the hierarchy proxy under LSD,0.111010982581,-0.175410674265,1024,15,0.40482584635416663,False,False
run-01,hierarchy_gradient_flattening_proxy,0.034528451915710405,0.29153853239201477,0.11843529441000965,0.11843529441000965,1,0.6,0.303619384765625,positive means reduced hierarchy/global-coupling gradient strength under LSD,0.176605959348,-0.10128104474,1024,15,0.40482584635416663,False,False
run-01,receptor_weighted_global_coupling,0.08960971887296933,0.1014192613812523,0.8835572025723113,0.8835572025723113,1,0.8,0.017578125,positive means stronger global coupling in high receptor-prior modules under LSD,0.136882463951,0.036565137559,1024,15,0.052734375,False,False
run-01,receptor_global_coupling_alignment,0.22291474094564614,0.45781680379533346,0.4869081674103425,0.4869081674103425,1,0.6,0.303619384765625,positive means high receptor-prior modules align more with global coupling under LSD,0.47078797654,0.016173178322,1024,15,0.40482584635416663,False,False
run-03,sensory_transmodal_coupling,0.042557041737204225,0.11034575106934788,0.3856699630460518,0.3856699630460518,1,0.6666666666666666,0.15087890625,positive means stronger sensory-to-transmodal coupling under LSD,0.096174833333,-0.008443270768,1024,15,0.3017578125,False,False
run-03,sensory_global_coupling,0.047523090925699805,0.10336290912336664,0.45976928599193756,0.45976928599193756,1,0.6666666666666666,0.15087890625,positive means stronger sensory/somatomotor global coupling under LSD,0.09787681562,-0.005754140883,1024,15,0.3017578125,False,False
run-03,associative_global_coupling,0.06098607347961492,0.09439018660899275,0.6461060802035182,-0.6461060802035182,-1,0.4,0.84912109375,negative means weaker associative-network global coupling under LSD,0.108546864951,0.018989069197,1024,15,0.84912109375,False,False
run-03,thalamic_global_coupling,0.09532207683806194,0.17010507057206653,0.5603717544544206,0.5603717544544206,1,0.8,0.017578125,positive means stronger thalamic-gateway coupling with cortex under LSD,0.178714489003,0.015375877396,1024,15,0.10546875,False,False
