source_path,derivation_note,figure,metric,baseline_or_initial,perturbed_or_selected,delta,extra_context
results/stage_1/stage_1_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage1_metric_shift.png,state_entropy,0.9890194745077442,0.9975767208489842,0.008557246341239999,Stage 1 baseline versus perturbed surrogate metric.
results/stage_1/stage_1_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage1_metric_shift.png,switching_rate,0.14714714714714713,0.2032032032032032,0.05605605605605607,Stage 1 baseline versus perturbed surrogate metric.
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,objective_score,1628.9453988528956,2.0539573741279997,-1626.8914414787675,selected_iteration=42; subject_count=15; empirical_run_count=60
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,cross_group_fc,multi_seed_mean,0.08660411092958141,,std=0.028512675344312535; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,cross_network_communication,multi_seed_mean,0.08660411092958141,,std=0.028512675344312535; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,dynamic_fc_change,multi_seed_mean,1.1782127657829289,,std=0.045853267804676905; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,effective_barrier_proxy,multi_seed_mean,4.820753064352433,,std=0.20252572524270382; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,entropy_diversity,multi_seed_mean,0.9920664453600073,,std=0.007799310836555581; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,hierarchical_compression,multi_seed_mean,0.07448528015619803,,std=0.07389837159222486; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,metastability_proxy,multi_seed_mean,1.1782127657829289,,std=0.045853267804676905; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,state_entropy,multi_seed_mean,0.9920664453600073,,std=0.007799310836555581; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,switching_rate,multi_seed_mean,0.207007007007007,,std=0.008666610939705048; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,thalamic_coupling,multi_seed_mean,0.1913800460297651,,std=0.03573886307161008; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,within_group_fc,multi_seed_mean,0.05291871699626395,,std=0.029236946465399892; score_mean=2.455030496460485; score_std=0.65113831126574
results/stage_2/stage_2_summary.json,derived for PI package from existing artifacts; not regenerated scientific output,stage2_fit_robustness.png,within_network_stability,multi_seed_mean,0.05291871699626395,,std=0.029236946465399892; score_mean=2.455030496460485; score_std=0.65113831126574
